EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	03:51:40	0	0.1000	6.1746613957533025	3.5624728202819824	0.6844	0.2194	0.3323	3.7690701484680176	0.6291	0.1815	0.2817
1	04:01:20	0	0.1000	3.7764187014684443	2.344339609146118	0.7246	0.4986	0.5907	2.676541328430176	0.5412	0.561	0.5509
2	04:11:02	0	0.1000	3.096414725082677	1.9849177598953247	0.656	0.5271	0.5845	2.2603871822357178	0.538	0.633	0.5816
3	04:20:40	1	0.1000	2.6372376694911863	2.2182891368865967	0.5593	0.6852	0.6159	2.8424155712127686	0.4766	0.737	0.5789
4	04:30:20	0	0.1000	2.318537686874227	1.7404911518096924	0.7623	0.5755	0.6559	1.8261988162994385	0.6362	0.6095	0.6226
5	04:39:54	0	0.1000	2.1602580046871815	1.5422371625900269	0.848	0.3974	0.5412	1.4462250471115112	0.8147	0.387	0.5247
6	04:49:21	1	0.1000	1.9930571723275068	1.6979975700378418	0.6147	0.7137	0.6605	1.6736589670181274	0.5935	0.681	0.6342
7	04:58:59	0	0.1000	1.8086304036582388	2.6111040115356445	0.9712	0.2877	0.4439	2.5277605056762695	0.951	0.272	0.423
8	05:08:29	1	0.1000	1.8134322838085453	1.402037262916565	0.9296	0.3575	0.5164	1.3872945308685303	0.8983	0.3445	0.498
9	05:18:05	2	0.1000	1.6699657422740286	1.964512586593628	0.4585	0.8333	0.5915	2.5117580890655518	0.4057	0.892	0.5577
10	05:27:38	3	0.1000	1.6563984894170993	1.417562484741211	0.9	0.4615	0.6101	1.285140037536621	0.8585	0.449	0.5896
11	05:37:14	0	0.0500	1.315350026183012	1.094262957572937	0.8359	0.6966	0.7599	1.0565580129623413	0.7374	0.7215	0.7294
12	05:46:58	0	0.0500	1.2300742130453994	1.0986502170562744	0.8109	0.745	0.7766	1.0402286052703857	0.755	0.7535	0.7542
13	05:56:39	0	0.0500	1.194745171215476	1.1520625352859497	0.904	0.5499	0.6838	1.0708558559417725	0.8838	0.582	0.7018
14	06:06:14	1	0.0500	1.2039946743627874	1.0537201166152954	0.8831	0.6026	0.7164	0.9564682245254517	0.8401	0.628	0.7187
15	06:15:45	2	0.0500	1.1908338059012482	1.1117795705795288	0.9313	0.4444	0.6017	1.0451200008392334	0.9202	0.5245	0.6682
16	06:25:14	3	0.0500	1.169582122709693	0.9837570190429688	0.8734	0.688	0.7697	0.9430094361305237	0.7901	0.689	0.7361
17	06:34:45	0	0.0250	1.0360654071700282	0.9400988221168518	0.8494	0.7393	0.7905	0.8957034349441528	0.7809	0.752	0.7662
18	06:44:31	0	0.0250	1.0015807224483024	0.9499987959861755	0.8506	0.7464	0.7951	0.880612313747406	0.8089	0.743	0.7746
19	06:54:21	0	0.0250	0.9760405456147543	0.9614883065223694	0.8968	0.6809	0.7741	0.8697767853736877	0.8435	0.7115	0.7719
20	07:04:03	1	0.0250	0.9818070481463177	0.9296115636825562	0.8463	0.7607	0.8012	0.8524675965309143	0.8143	0.75	0.7808
21	07:13:40	0	0.0250	0.9488148520632488	0.9771435260772705	0.7966	0.792	0.7943	0.9810428023338318	0.6824	0.81	0.7407
